id,offset,japanese,korean
pitch_000,03708A,カーフ゛1,커브1
pitch_001,0370A6,カーフ゛2,커브2
pitch_002,0370C2,カーフ゛3,커브3
pitch_003,0370DE,カーフ゛4,커브4
pitch_004,0370FA,スローカーフ゛1,슬로커브1
pitch_005,037116,スローカーフ゛2,슬로커브2
pitch_006,037132,スローカーフ゛3,슬로커브3
pitch_007,03714E,スローカーフ゛4,슬로커브4
pitch_008,03716A,大カーフ゛1,대커브1
pitch_009,037186,大カーフ゛2,대커브2
pitch_010,0371A2,大カーフ゛3,대커브3
pitch_011,0371BE,大カーフ゛4,대커브4
pitch_012,0371DA,たてカーフ゛1,세로커브1
pitch_013,0371F6,たてカーフ゛2,세로커브2
pitch_014,037212,たてカーフ゛3,세로커브3
pitch_015,03722E,たてカーフ゛4,세로커브4
pitch_016,03724A,Qカーフ゛1,Q커브1
pitch_017,037266,Qカーフ゛2,Q커브2
pitch_018,037282,Qカーフ゛3,Q커브3
pitch_019,03729E,Qカーフ゛4,Q커브4
pitch_020,0372BA,シュート 1,슈트1
pitch_021,0372D6,シュート 2,슈트2
pitch_022,0372F2,シュート 3,슈트3
pitch_023,03730E,シュート 4,슈트4
pitch_024,03732A,Qシュート 1,Q슈트1
pitch_025,037346,Qシュート 2,Q슈트2
pitch_026,037362,Qシュート 3,Q슈트3
pitch_027,03737E,Qシュート 4,Q슈트4
pitch_028,03739A,Aストレート,A직구
pitch_029,0373B6,Aほ゛う球,A볼
pitch_030,0373D2,スローホ゛ール,슬로볼
pitch_031,0373EE,Qスロー,Q슬로
pitch_032,03740A,Aナチュラルシュート,A내추럴슈트
pitch_033,037426,Aナチュラルスライタ゛,A내추럴슬라이더
pitch_034,037442,QAストレート,QA직구
pitch_035,03745E,シンカー 1,싱커1
pitch_036,03747A,シンカー 2,싱커2
pitch_037,037496,シンカー 3,싱커3
pitch_038,0374B2,シンカー 4,싱커4
pitch_039,0374CE,フォーク 1,포크1
pitch_040,0374EA,フォーク 2,포크2
pitch_041,037506,フォーク 3,포크3
pitch_042,037522,フォーク 4,포크4
pitch_043,03753E,Qフォーク 1,Q포크1
pitch_044,03755A,Qフォーク 2,Q포크2
pitch_045,037576,Qフォーク 3,Q포크3
pitch_046,037592,Qフォーク 4,Q포크4
pitch_047,0375AE,ナックル 1,너클1
pitch_048,0375CA,ナックル 2,너클2
pitch_049,0375E6,ナックル 3,너클3
pitch_050,037602,ナックル 4,너클4
pitch_051,03761E,スライタ゛ー 1,슬라이더1
pitch_052,03763A,スライタ゛ー 2,슬라이더2
pitch_053,037656,スライタ゛ー 3,슬라이더3
pitch_054,037672,スライタ゛ー 4,슬라이더4
pitch_055,03768E,Qスライタ゛ー 1,Q슬라이더1
pitch_056,0376AA,Qスライタ゛ー 2,Q슬라이더2
pitch_057,0376C6,Qスライタ゛ー 3,Q슬라이더3
pitch_058,0376E2,Qスライタ゛ー 4,Q슬라이더4
pitch_059,0376FE,スクリュー 1,스크류1
pitch_060,03771A,スクリュー 2,스크류2
pitch_061,037736,スクリュー 3,스크류3
pitch_062,037752,スクリュー 4,스크류4
pitch_063,03776E,ハ゜ーム 1,팜볼1
pitch_064,03778A,ハ゜ーム 2,팜볼2
pitch_065,0377A6,ハ゜ーム 3,팜볼3
pitch_066,0377C2,ハ゜ーム 4,팜볼4
pitch_067,0377DE,ナッツ,너츠
pitch_068,0377FA,ハ゜ラシュート,패러슈트
pitch_069,037816,超{00}スロー,초슬로
pitch_070,037832,ホッフ゜,홉
pitch_071,03784E,龍 総 吸 弾 波,용총흡탄파
pitch_072,03786A,際 魔 龍 麗 波,마룡려파
pitch_073,037886,オーラ球,오라구
pitch_074,0378A2,超 速 球,초속구
pitch_075,0378BE,剛 速 球,강속구
pitch_076,0378DA,らいけ゛きカーフ゛,뇌격커브
pitch_077,0378F6,フ゛レート゛シュート,블레이드슈트
pitch_078,037912,ふ゛っつけ,빈볼
pitch_079,03792E,フ゛レーキ,브레이크
pitch_080,03794A,ハ゜ワー,파워
pitch_081,037966,ト゛ライフ゛,드라이브
pitch_082,037982,アッハ゜ー,어퍼
pitch_083,03799E,忍 投 法 右,인법투 우
pitch_084,0379BA,忍 投 法 左,인법투 좌
pitch_085,0379D6,いのり,기도
pitch_086,0379F2,超 カーフ゛,초커브
pitch_087,037A0E,きあい球,기합구
pitch_088,037A2A,みちこホ゛ール,미치코볼
pitch_089,037A46,Bストレート,B직구
pitch_090,037A62,Cストレート,C직구
pitch_091,037A7E,Dストレート,D직구
pitch_092,037A9A,Sストレート,S직구
pitch_093,037AB6,QBストレート,QB직구
pitch_094,037AD2,QCストレート,QC직구
pitch_095,037AEE,QDストレート,QD직구
pitch_096,037B0A,QSストレート,QS직구
pitch_097,037B26,Bほ゛う球,B볼
pitch_098,037B42,Cほ゛う球,C볼
pitch_099,037B5E,Dほ゛う球,D볼
pitch_100,037B7A,Sほ゛う球,S볼
pitch_101,037B96,Bナチュラルシュート,B내추럴슈트
pitch_102,037BB2,Cナチュラルシュート,C내추럴슈트
pitch_103,037BCE,Dナチュラルシュート,D내추럴슈트
pitch_104,037BEA,Sナチュラルシュート,S내추럴슈트
pitch_105,037C06,Bナチュラルスライタ゛,B내추럴슬라이더
pitch_106,037C22,Cナチュラルスライタ゛,C내추럴슬라이더
pitch_107,037C3E,Dナチュラルスライタ゛,D내추럴슬라이더
pitch_108,037C5A,Sナチュラルスライタ゛,S내추럴슬라이더
pitch_109,037C76,ノーマルスインク゛,노멀스윙
pitch_110,037C92,ころか゛すスインク゛,굴리기스윙
pitch_111,037CAE,打ち上け゛スインク゛,띄우기스윙
pitch_112,037CCA,フルスインク゛,풀스윙
pitch_113,037CE6,ハ゛ント,번트
pitch_114,037D02,スクイス゛,스퀴즈
pitch_115,037D1E,セーフティハ゛ント,세이프티번트
pitch_116,037D3A,ハ゛スター,버스터
pitch_117,037D56,巧 打,교타
pitch_118,037D72,ラッキー打,럭키타
pitch_119,037D8E,ハ゜ワー,파워
pitch_120,037DAA,ハリケーン,허리케인
pitch_121,037DC6,ト゛ライフ゛打,드라이브타
pitch_122,037DE2,強 打,강타
pitch_123,037DFE,カーフ゛キラー,커브킬러
pitch_124,037E1A,きあい打,기합타
pitch_125,037E36,根 性 打 1,근성타1
pitch_126,037E52,根 性 打 2,근성타2
pitch_127,037E6E,根 性 打 3,근성타3
pitch_128,037E8A,いのり,기도
pitch_129,037EA6,たたきつけ,내리치기
pitch_130,037EC2,龍 功 撃 魔 砲,용공격마포
pitch_131,037EDE,忍 打,인법타
pitch_132,037EFA,オーラ打,오라타
pitch_133,037F16,うまいハ゛ント,명품번트
pitch_134,037F32,ため 打 法,모으기타법
pitch_135,037F4E,ほ゛う術 スヘ゜シャル,봉술스페셜
pitch_136,037F6A,すくい上け゛,퍼올리기
pitch_137,037F86,フ゜ライト゛,프라이드
pitch_138,037FA2,は゛くねつ打,폭열타
pitch_139,037FBE,ミラクル 打 法,미라클타법
pitch_140,037FDA,飛 剪 新 り,
